Age,Gender,PostalCode,ResidenceYears,ResidenceType,DistanceResidenceCampus,Commute,NativeLanguage,OtherLanguages,BirthCountry,LengthCm,WeightKg,DominantHand,DominantFoot,Diagnose,AlcoholConsumption,CigaretteConsumption,SleepHours,Rested,Happiness,EducationFather,OccupationFather,EducationMother,OccupationMother,FamilyIncome,FamilySize,NumSiblings,SiblingRank,FamilySituation,DivorcedYears,HappinessHome,ParentsStemEducation,ParentsStemOccupation,ParentsHelp,SecondaryEducation,EducationSector,KindergartenAge,SecondaryDiplomaYears,MathHours1,MathHours2,MathHours3,SecondaryMathResults,OtherEducation,OtherDiploma,Elective,ClassSize,ClassSizeComfort,ClassSizeAttention,MathPrep,MathTeacherHelpful,MathTeacherAvailable,Credits,StudyTimeGeneralHours,StudyTimeITHours,NonStudyTimeITHours,ITMainDomain,ITProjects,NumProgrammingLanguages,MathFun,MathConfidence,MathEffort,MathStress,MathMoreStress,MathProblemAction,RankFamily,RankYouthMovement,RankYouthHouse,RankMusic,RankSportsClub,RankHome,RankAssociation,RankFriends,OutdoorChild,OutdoorNow,OutdoorChildCompany,SportHours,SportType,ReadingHours,ReadingLanguages,ReadingEnjoyment,ComputerUseProHours,ComputerUseRecHours,ComputerGameTypes,ComputerGameNeglect,BrainGameHours,MusicalInstrument,MusicEducation,MusicYears,SheetMusic,SpendingMoney,SpendingGames,LootBoxKnow,LootBoxIllegal,LootBoxBought1,LootBoxBought2,TestQ01,TestQ02,TestQ03,TestQ04,TestQ05,TestQ06,TestQ07,TestQ08,TestQ09,TestQ10,TestQ11,TestQ12,TestQ13,TestQ14,TestQ15,TestTimeMins,GradeMath4IT,GradePOD1,GradeOOP1,GradeOOP2,GradeWA1,GradeWA2,GradePRJ1
23,Mannelijk,9950,19,Ik verblijf thuis bij mijn ouders/voogd,20,Trein,Nederlands,Engels,Anders,181,76,Rechtshandig,Rechtsvoetig,,6,0,8,6,7,Bachelor of equivalent (hogeschool),Bediende,Master of equivalent (universiteit),Ambtenaar,4500€ - 5999€,4,1,1,Twee-oudergezin: vader en moeder,,7,Ja,Ja,5,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,2.5,5,4,5,8,6,Nee,Nee,Programmeren,12,8,5,6,5,5,53,2,10,5,Software-ontwikkeling,Dat heb ik wel eens gedaan,2,7,9,5,3,3,Ik probeer het onmiddellijk op te lossen,6,1,7,8,5,3,4,2,2-5 keer per week,2-5 keer per week,Met vrienden,3,Teamsport,0,,9,6,4,Strategie,Af en toe,4,Nee,,,Nee,30,0,Ja,Ja,Ja,"Nee, omwille van andere redenen",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,20,0,0,0,0,0,0,0
20,Mannelijk,1760,13,"Ik verblijf op kot (studentenhome, peda, huurwoning of -appartement dichtbij de hogeschoolcampus)",1,Fiets,Nederlands,Engels,België,178,80,Rechtshandig,Rechtsvoetig,Nee,3,0,7,6,7,Master of equivalent (universiteit),Zelfstandige,Bachelor of equivalent (hogeschool),Onderwijs,Ik weet het niet,6,3,1,Twee-oudergezin: vader en moeder,,8,Nee,Nee,6,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,2.5,3,4,5,6,7,"Ja, een universitaire opleiding binnen STEM",Nee,Programmeren,15,8,4,4,6,7,48,8,2,0,Software-ontwikkeling,Dat heb ik wel eens gedaan,0,8,7,7,2,4,"Ik raadpleeg hulp van vrienden, ouders, het Internet, enz.",2,4,6,8,7,1,5,3,2-5 keer per week,1 keer per week,Met broers en/of zussen,4,Teamsport,0,"Nederlands,Engels",9,4,4,Actie,Zelden,4,,Autodidact,0,Nee,20,0,Ja,Ja,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,29,12,12,14,5,14,7,11
30,Mannelijk,9500,5,Ik verblijf in de woning die ik zelf huur of bezit,40,Auto,Nederlands,"Engels,Frans",België,180,95,Rechtshandig,Rechtsvoetig,Nee,0,40,7,8,6,Hoger secundair onderwijs,Gepensioneerd,Lager onderwijs,Gepensioneerd,Ik weet het niet,1,2,3,Twee-oudergezin: vader en moeder,,6,Nee,Nee,0,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,3,12,4,4,4,7,"Ja, een hogeschoolopleiding binnen STEM",Nee,Programmeren,1,3,5,3,5,5,30,1,1,45,Anders,Dat heb ik wel eens gedaan,3,6,4,7,0,0,"Ik raadpleeg hulp van vrienden, ouders, het Internet, enz.",5,8,4,7,1,3,6,2,> 5 keer per week,1 keer per week,Alleen,0,Ik beoefen geen sport,6,Engels,10,16,6,Shooter,Af en toe,2,Nee,,,Nee,100,15,Ja,Ja,Ja,Ja,,,,,,,,,,,,,,,,,10,14,16,18,11,10,15
20,Mannelijk,9840,20,Ik verblijf thuis bij mijn ouders/voogd,10,Fiets,Nederlands,Engels,België,188,73,Rechtshandig,Rechtsvoetig,Nee,0,0,7,6,8,Master of equivalent (universiteit),Bediende,Bachelor of equivalent (hogeschool),Arbeider,Ik weet het niet,5,2,1,Twee-oudergezin: vader en moeder,,8,Ja,Ja,6,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,3,3,4,5,6,5,"Ja, een universitaire opleiding binnen STEM",Nee,Programmeren,20,7,8,5,5,7,60,5,15,2,Software-ontwikkeling,Dat heb ik regelmatig gedaan,3,6,6,7,2,3,Ik sla het probleem over en bekijk het later nog eens,2,5,8,7,3,1,6,4,> 5 keer per week,1 keer per week,Met vrienden,14,Teamsport,2,Nederlands,8,5,3,Simulatie,Zelden,0,Nee,,,Ja,20,50,Ja,Ja,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,43,14,12,16,15,19,13,16
33,Mannelijk,9000,10,Ik verblijf in de woning die ik zelf huur of bezit,1,Fiets,Nederlands,"Engels,Frans",België,188,90,Tweehandig (ambidexter),Rechtsvoetig,Nee,10,20,7,7,7,Bachelor of equivalent (hogeschool),Gepensioneerd,Bachelor of equivalent (hogeschool),Gepensioneerd,Ik weet het niet,5,2,3,Twee-oudergezin: vader en moeder,,8,Nee,Nee,5,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,3,14,6,6,4,6,"Ja, een universitaire opleiding binnen STEM",Nee,Programmeren,1,8,2,5,5,5,32,10,5,2,Software-ontwikkeling,Dat heb ik wel eens gedaan,2,2,4,7,8,8,Ik sla het probleem over en bekijk het later nog eens,4,6,8,7,2,3,5,1,> 5 keer per week,1 keer per week,Met vrienden,2,Individuele sport,0,Nederlands,5,3,1,Simulatie,Af en toe,2,Klavier,Muziekschool (deeltijds kunstonderwijs),28,Ja,100,5,Nee,Nee,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,24,14,11,12,15,10,11,18
21,Mannelijk,9700,5,Ik verblijf thuis bij mijn ouders/voogd,30,Trein,Nederlands,Engels,België,176,68,Rechtshandig,Rechtsvoetig,Nee,0,0,8,4,2,Hoger beroepsonderwijs (HBO5),Arbeider,Bachelor of equivalent (hogeschool),Bediende,3000€ - 4499€,3,0,1,Co-ouderschap (afwisselend bij elke ouder),14,7,Nee,Nee,5,Technisch Secundair Onderwijs (TSO),Gemeenschapsonderwijs (GO!),3,4,4,4,4,5,Nee,Nee,Programmeren,20,2,6,6,6,10,54,1,9,0,Software-ontwikkeling,Dat heb ik wel eens gedaan,0,2,2,8,8,6,Ik sla het probleem over en bekijk het later nog eens,3,6,7,5,4,1,8,2,2-5 keer per week,1 keer per week,Alleen,4,Individuele sport,0,Engels,2,2,4,Strategie,Vaak,0,Nee,,,Nee,20,0,Ja,Ja,Ja,Ja,,,,,,,,,,,,,,,,,10,14,18,14,18,12,14
22,Mannelijk,9850,22,Ik verblijf thuis bij mijn ouders/voogd,12,Trein,Nederlands,Engels,België,184,75,Rechtshandig,Rechtsvoetig,Nee,10,0,10,6,5,Master of equivalent (universiteit),Overleden,Master of equivalent (universiteit),Onderwijs,Ik weet het niet,5,3,3,Twee-oudergezin: vader en moeder,,9,Nee,Nee,2,Technisch Secundair Onderwijs (TSO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,3,3,5,5,4,9,Nee,Nee,Programmeren,40,5,2,2,2,6,42,,,3,Software-ontwikkeling,Dat heb ik wel eens gedaan,0,8,8,8,5,0,Ik sla het probleem over en bekijk het later nog eens,4,3,6,8,2,1,7,5,> 5 keer per week,2-5 keer per week,Met broers en/of zussen,8,Teamsport,0,"Nederlands,Engels",4,,,Ik speel geen/nauwelijks computergames,Af en toe,,Nee,,,Nee,15,0,Ja,Ja,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,51,,,,,,,
21,Mannelijk,1570,21,"Ik verblijf op kot (studentenhome, peda, huurwoning of -appartement dichtbij de hogeschoolcampus)",1,Te voet,Nederlands,"Engels,Frans",België,170,66,Rechtshandig,Rechtsvoetig,Nee,0,0,8,7,9,Master of equivalent (universiteit),Zelfstandige,Hoger secundair onderwijs,Zelfstandige,1500€ - 2999€,5,2,3,Twee-oudergezin: vader en moeder,,8,Ja,Nee,3,Technisch Secundair Onderwijs (TSO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,2.5,3,5,5,4,6,Nee,Nee,Programmeren,20,8,8,3,5,8,40,1,1,0,Software-ontwikkeling,Dat heb ik wel eens gedaan,0,7,5,8,6,7,Ik sla het probleem over en bekijk het later nog eens,2,4,7,8,5,1,6,3,> 5 keer per week,2-5 keer per week,Met vrienden,8,Individuele sport,1,Engels,7,1,8,Strategie,Altijd,4,Nee,,,Nee,50,0,Ja,Ja,Ja,"Nee, dit interesseert me niet",1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,45,13,10,14,14,12,12,10
19,Mannelijk,9800,13,"Ik verblijf op kot (studentenhome, peda, huurwoning of -appartement dichtbij de hogeschoolcampus)",0,Te voet,Nederlands,Engels,België,176,70,Rechtshandig,Linksvoetig,Nee,0,0,8,3,3,Master of equivalent (universiteit),Bediende,Master of equivalent (universiteit),Bediende,3000€ - 4499€,3,1,1,Alleenstaande of gescheiden vader,12,7,Nee,Nee,8,Technisch Secundair Onderwijs (TSO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,2.5,2,4,4,4,3,Nee,Nee,Programmeren,16,8,6,3,2,5,60,2,8,0,Software-ontwikkeling,Dat heb ik wel eens gedaan,0,0,0,8,5,8,"Ik raadpleeg hulp van vrienden, ouders, het Internet, enz.",3,4,6,7,5,1,8,2,> 5 keer per week,< 1 keer per week,Met broers en/of zussen,1,Individuele sport,0,"Nederlands,Engels",2,2,12,Shooter,Altijd,0,Nee,,,Nee,15,0,Nee,Nee,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,37,10,10,13,10,12,10,15
19,Mannelijk,9300,19,Ik verblijf thuis bij mijn ouders/voogd,2,Te voet,Nederlands,Engels,België,,,Rechtshandig,,Autismespectrumstoornis (ASS),0,0,8,7,5,,,,,,5,2,1,Twee-oudergezin: vader en moeder,,6,Nee,Nee,1,Technisch Secundair Onderwijs (TSO),Ik weet het niet,,2,4,4,4,10,Nee,Nee,Programmeren,,5,6,2,1,5,60,0,6,0,,Dat heb ik nog nooit gedaan,0,9,9,0,2,0,Ik laat het probleem liggen voor wat het is,2,6,7,5,4,1,8,3,"Nee, nooit","Nee, nooit",,0,Ik beoefen geen sport,0,"Nederlands,Engels",0,4,1,Strategie,Zelden,10,Nee,,,Nee,15,20,Ja,Ja,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,1,1,1,1,1,0,0.5,0,1,0,0,45,14,13,17,14,13,11,17
